game_name,tags,followers,oweners,num_ytube_vids(one_day)
F1® 22,"['Racing', 'Immersive Sim', 'Sports', 'Driving', 'VR', 'Automobile Sim', 'PvP', 'Controller', 'Simulation', 'Multiplayer', 'Realistic', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Memes', 'Split Screen', 'Action', 'Local Multiplayer', 'Open World', 'Arcade']",": 45,877",": 500,000 .. 1,000,000",: 50 new videos uploaded yesterday.
Inside the Backrooms,"['Early Access', 'Horror', 'Multiplayer', 'Survival Horror', 'Puzzle', 'Psychological Horror', 'Adventure', 'Exploration', 'Co-op', 'Online Co-Op', 'First-Person', 'FPS', 'Atmospheric', '3D', 'Dark', 'Mystery', 'Sci-fi', 'Story Rich', 'VR', 'PvE']",": 57,187",": 1,000,000 .. 2,000,000",: 38 new videos uploaded yesterday.
Into the Radius VR,"['VR', 'Survival', 'Atmospheric', 'Post-apocalyptic', 'Horror', 'Open World', 'Shooter', 'Singleplayer', 'Survival Horror', 'FPS', 'Realistic', 'Exploration', 'First-Person', 'Indie', 'Gun Customization', 'Tactical', 'Simulation', 'Physics', 'Action', 'Violent', 'VR Only']",": 25,560",": 200,000 .. 500,000",: 11 new videos uploaded yesterday.
Fishing Planet,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Sports', 'Relaxing', 'Massively Multiplayer', 'Realistic', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'VR', 'Action', 'MMORPG', 'FPS']",": 113,855",": 2,000,000 .. 5,000,000",: 49 new videos uploaded yesterday.
DiRT Rally 2.0,"['Racing', 'Automobile Sim', 'Simulation', 'Multiplayer', 'Driving', 'Sports', 'Realistic', 'Offroad', 'VR', 'Singleplayer', 'Difficult', 'First-Person', 'Open World', 'Controller', 'Co-op', '3D Vision', 'Family Friendly', 'TrackIR', 'Action', 'Adventure']",": 94,928",": 1,000,000 .. 2,000,000",: 50 new videos uploaded yesterday.
Train Simulator Classic,"['Simulation', 'Trains', 'Singleplayer', 'Realistic', 'Driving', 'Casual', 'Relaxing', 'Open World', 'Building', 'Moddable', 'Level Editor', 'Sandbox', 'TrackIR', 'Atmospheric', 'Transportation', 'Action', 'Adventure', 'VR', 'City Builder', 'Strategy']",: 0,": 1,000,000 .. 2,000,000",: 30 new videos uploaded yesterday.
IL-2 Sturmovik: Battle of Stalingrad,"['Simulation', 'Flight', 'World War II', 'Realistic', 'Historical', 'VR', 'Action', 'War', 'Multiplayer', 'Singleplayer', 'Military', 'Atmospheric', 'Tanks', 'TrackIR', 'First-Person', 'Open World', 'Massively Multiplayer', 'Shooter', 'FPS', 'Controller']",": 42,181",": 500,000 .. 1,000,000",: 1 new videos uploaded yesterday.
Keep Talking and Nobody Explodes,"['Co-op', 'Puzzle', 'Local Co-Op', 'Multiplayer', 'VR', 'Indie', 'Local Multiplayer', 'Difficult', 'Team-Based', 'Family Friendly', 'Funny', 'Fast-Paced', 'First-Person', 'Simulation', 'Asymmetric VR', 'Party Game', 'Action', 'Party', 'Atmospheric', 'Strategy']",": 111,669",": 1,000,000 .. 2,000,000",: 24 new videos uploaded yesterday.
The Elder Scrolls V: Skyrim VR,"['Open World', 'RPG', 'VR', 'Singleplayer', 'Adventure', 'Fantasy', 'Magic', 'First-Person', 'Action', 'Dragons', 'Memes', 'Moddable', 'Exploration', 'Character Customization', 'Great Soundtrack', 'Story Rich', 'Sexual Content', 'Atmospheric', 'Stealth', 'Walking Simulator', 'VR Only']",": 58,935",": 1,000,000 .. 2,000,000",: 2 new videos uploaded yesterday.
BONEWORKS,"['VR', 'Physics', 'Action', 'Sandbox', 'Shooter', 'Singleplayer', 'Adventure', 'Puzzle', 'Great Soundtrack', 'First-Person', 'Simulation', 'Realistic', 'FPS', 'Indie', 'Violent', 'Horror', 'Parkour', 'Sci-fi', 'Gore', 'Funny', 'VR Only']",": 102,184",": 1,000,000 .. 2,000,000",: 28 new videos uploaded yesterday.
"Hot Dogs, Horseshoes & Hand Grenades","['Sandbox', 'Physics', 'FPS', 'VR', 'Shooter', 'Simulation', 'First-Person', 'Gun Customization', 'Funny', 'Realistic', 'Moddable', 'Action', 'Comedy', 'Destruction', 'Atmospheric', 'Memes', 'America', 'Singleplayer', 'Early Access', 'Indie', 'VR Only']",": 26,074",": 1,000,000 .. 2,000,000",: 2 new videos uploaded yesterday.
AMID EVIL VR,"['VR', 'FPS', 'Shooter', '3D', 'First-Person', 'Old School', 'Action', 'Arena Shooter', 'Singleplayer', 'Adventure', 'Colorful', 'Psychedelic', ""1990's"", 'Atmospheric', 'Dark Fantasy', 'Retro', 'Fantasy', 'Magic', 'Medieval', 'Sci-fi', 'VR Only']",: 731,": 0 .. 20,000",nan
Tetris® Effect: Connected,"['Puzzle', 'Casual', 'Colorful', 'Abstract', 'Psychedelic', 'VR', 'Stylized', 'Controller', 'PvP', 'Score Attack', 'Co-op', 'Tutorial', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Great Soundtrack', 'Singleplayer', 'Online Co-Op', 'Indie', 'Beautiful']",": 12,556",": 200,000 .. 500,000",: 11 new videos uploaded yesterday.
Golf It!,"['Multiplayer', 'Mini Golf', 'Golf', 'Casual', 'Sports', 'Funny', 'Early Access', 'Online Co-Op', 'Simulation', 'Singleplayer', 'Level Editor', 'Indie', 'Local Multiplayer', 'Sandbox', 'Co-op', 'Memes', 'Family Friendly', 'Difficult', 'Strategy', 'VR']",": 35,167",": 1,000,000 .. 2,000,000",: 28 new videos uploaded yesterday.
Tactical Assault VR,"['Tactical', 'VR', 'Shooter', 'Online Co-Op', 'Multiplayer', 'Wargame', 'Sandbox', 'Sniper', 'Stealth', 'War', 'PvE', 'PvP', 'Action', 'Asymmetric VR', 'Simulation', 'Stylized', 'Early Access', 'Cartoon', 'Singleplayer', 'VR Only']",": 1,853",": 50,000 .. 100,000",: 2 new videos uploaded yesterday.
Walkabout Mini Golf VR,"['Sports', 'Mini Golf', 'Golf', 'PvP', 'VR', '3D', 'First-Person', 'Casual', 'Historical', 'Colorful', 'Minimalist', 'Stylized', 'Fantasy', 'Pirates', '6DOF', 'Atmospheric', 'Multiplayer', 'Nature', 'Physics', 'Singleplayer', 'VR Only']",": 3,644",": 100,000 .. 200,000",: 6 new videos uploaded yesterday.
Pinball FX,[],nan,": 0 .. 20,000",nan
X-Plane 12,"['Simulation', 'Immersive Sim', 'Action-Adventure', 'Flight', '3D', '3D Vision', 'Realistic', 'First-Person', 'VR', 'Atmospheric', 'Jet', 'Military', 'Relaxing', 'Choices Matter', 'Controller', 'Moddable', 'Open World', 'Physics', 'Tutorial', 'Co-op']",": 12,383",": 50,000 .. 100,000",: 25 new videos uploaded yesterday.
Contractors,"['VR', 'Action', 'Violent', 'FPS', 'Indie', 'Simulation', 'Multiplayer', 'Military', 'First-Person', 'Shooter', 'Gun Customization', 'Early Access', 'Singleplayer', 'VR Only']",": 11,645",": 200,000 .. 500,000",: 25 new videos uploaded yesterday.
FOREWARNED,"['Horror', 'Online Co-Op', 'Survival Horror', 'Co-op', 'Multiplayer', 'Psychological Horror', 'VR', 'PvE', 'Survival', 'Asymmetric VR', 'Action-Adventure', 'Atmospheric', 'Dark', 'PvP', 'Exploration', 'First-Person', 'Adventure', 'Action', '3D', 'Early Access']",": 21,119",": 200,000 .. 500,000",: 3 new videos uploaded yesterday.
SUPERHOT VR,"['VR', 'Shooter', 'Bullet Time', 'FPS', 'Puzzle', 'Time Manipulation', 'First-Person', 'Atmospheric', 'Cyberpunk', 'Cinematic', 'Action', 'Singleplayer', 'Sci-fi', 'Minimalist', 'Adventure', 'Artificial Intelligence', 'Hero Shooter', 'Combat', 'Retro', 'Old School', 'VR Only']",": 26,285",": 1,000,000 .. 2,000,000",: 11 new videos uploaded yesterday.
The Light Brigade,"['VR', 'Action', 'Shooter', 'Physics', 'Singleplayer', 'First-Person', 'FPS', 'Indie', 'Rogue-lite', 'Atmospheric', 'Tactical', 'Violent', 'Rogue-like', 'Realistic', 'RPG', 'Procedural Generation', 'Combat', 'Adventure', 'Souls-like', 'Magic', 'VR Only']",": 2,966",": 0 .. 20,000",: 9 new videos uploaded yesterday.
VTOL VR: T-55 Tyro - Trainer Jet,[],nan,": 0 .. 20,000",nan
DCS: F/A-18C Hornet,"['Flight', 'Military', 'Simulation', 'VR']",nan,": 0 .. 20,000",nan
RealFlight Evolution,"['Simulation', 'Flight', 'Realistic', 'Physics', '3D', 'Singleplayer', 'Multiplayer', 'Local Multiplayer', 'Racing', 'Vehicular Combat', 'VR', 'Colorful', 'First-Person', 'Third Person', 'Jet', 'PvP', 'Character Customization', 'Controller', 'Level Editor', 'Open World']",": 1,454",": 0 .. 20,000",: 1 new videos uploaded yesterday.
Blood Trail,"['Gore', 'Action', 'Violent', 'VR', 'Early Access', 'Horror', 'Shooter', 'FPS', 'Psychological Horror', 'Sandbox', 'Singleplayer', 'Dark', 'Sexual Content', 'Realistic', 'Family Friendly', 'Hentai', 'Multiplayer', 'VR Only']",": 8,602",": 100,000 .. 200,000",: 2 new videos uploaded yesterday.
rFactor 2,"['Racing', 'Automobile Sim', 'Simulation', 'Sports', 'Realistic', 'Driving', 'Multiplayer', 'VR', 'Singleplayer', 'Moddable', 'e-sports', 'Physics']",": 27,719",": 200,000 .. 500,000",: 21 new videos uploaded yesterday.
City Car Driving,"['Simulation', 'Driving', 'Automobile Sim', 'Survival Horror', 'Open World', 'Realistic', 'Multiplayer', 'Singleplayer', 'Racing', 'First-Person', 'VR', 'Moddable', 'Physics', 'Indie', 'Family Friendly', 'Psychological Horror', 'Education', 'Adventure', 'Casual', 'Action']",": 55,321",": 500,000 .. 1,000,000",: 50 new videos uploaded yesterday.
Automobilista 2,"['Racing', 'Simulation', 'Sports', 'VR', 'Automobile Sim', 'Driving', 'Realistic']",": 21,974",": 200,000 .. 500,000",: 43 new videos uploaded yesterday.
FIVE NIGHTS AT FREDDY'S: HELP WANTED,"['Horror', 'VR', 'Singleplayer', 'Survival Horror', 'Robots', 'First-Person', 'Action', 'Psychological Horror', 'Dark', 'Survival', 'Casual', 'Atmospheric', 'Difficult', 'Puzzle', 'Story Rich', 'Indie', 'Strategy', 'Funny', 'Adventure', 'Family Friendly']",": 26,524",": 500,000 .. 1,000,000",: 17 new videos uploaded yesterday.
The Walking Dead: Saints & Sinners,"['VR', 'Zombies', 'Action', 'Gore', 'Adventure', 'Horror', 'Shooter', 'Survival Horror', 'Violent', 'Survival', 'RPG', 'Singleplayer', 'Choices Matter', 'Indie', 'Simulation', 'Strategy', 'Open World', 'First-Person', 'FPS', 'Action RPG', 'VR Only']",": 35,726",": 500,000 .. 1,000,000",: 19 new videos uploaded yesterday.
Vertigo Remastered,"['Action', 'Indie', 'Adventure', 'VR', 'Gore', 'Violent', 'Sci-fi', 'Singleplayer', 'Atmospheric', 'Great Soundtrack', 'Shooter', 'Female Protagonist', 'VR Only']",": 2,145",": 20,000 .. 50,000",: 2 new videos uploaded yesterday.
Project Wingman,"['Flight', 'Action', 'Jet', 'Indie', 'War', 'Military', 'Arcade', 'Singleplayer', 'Simulation', 'VR', 'Controller', 'Great Soundtrack', 'Shooter', 'Story Rich', 'Sci-fi', 'First-Person', 'Third Person', 'Epic', 'Realistic', 'Multiplayer']",": 51,884",": 500,000 .. 1,000,000",: 10 new videos uploaded yesterday.
OVR Toolkit,"['Utilities', 'VR', 'Software', 'VR Only']",": 6,133",": 200,000 .. 500,000",nan
Ghost Watchers,"['Horror', 'Co-op', 'Survival Horror', 'Multiplayer', 'Adventure', 'Demons', 'Puzzle', 'First-Person', 'Action-Adventure', 'Cinematic', 'Dark', 'Realistic', 'Detective', 'Online Co-Op', 'PvE', 'Team-Based', 'Nonlinear', 'Singleplayer', 'Early Access', 'VR']",": 32,191",": 200,000 .. 500,000",: 23 new videos uploaded yesterday.
Hellish Quart,"['Early Access', 'Sports', 'Martial Arts', 'PvE', 'PvP', '3D Fighter', 'Arcade', 'Swordplay', 'Character Customization', 'VR', '3D', 'Third Person', 'Historical', 'Action', 'Realistic', 'Medieval', 'Physics', 'Combat', 'Local Multiplayer', 'Multiplayer']",": 54,176",": 200,000 .. 500,000",: 21 new videos uploaded yesterday.
PULSAR: Lost Colony,"['Space', 'Co-op', 'Open World', 'Adventure', 'Multiplayer', 'Space Sim', 'Action', 'Sci-fi', 'Online Co-Op', 'First-Person', 'Early Access', 'Indie', 'VR', 'Singleplayer', 'FPS', 'Colorful', 'Aliens', 'Futuristic', 'Robots', '6DOF']",": 105,862",": 200,000 .. 500,000",: 1 new videos uploaded yesterday.
Zenith: The Last City,"['Early Access', 'VR', 'MMORPG', 'Open World', 'Action', 'Action-Adventure', 'Adventure', 'RPG', 'PvE', 'Action RPG', 'Massively Multiplayer', 'Hack and Slash', 'Exploration', 'Anime', 'JRPG', 'Dystopian ', 'Futuristic', 'Character Customization', 'Combat', 'Crafting', 'VR Only']",": 27,398",": 200,000 .. 500,000",: 3 new videos uploaded yesterday.
