game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
A Chair in a Room : Greenwater,0,1,83.9%,$640k,"34,142",5.7 hours,4.5 hours
Crisis VRigade,0,2,78.1%,"$47,440","7,830"
Westworld Awakening,0,1,82.7%,$169k,"8,400"
ARK and ADE,0,1,97.3%,"$24,598","2,220"
Rags to Dishes,0,1,96.8%,"$52,800","3,750"
MLB Home Run Derby VR,0,2,75%,"$10,368",916
GrowRilla VR,0,2,90.1%,"$21,862","2,130"
Simple VR Video Player,7,13,72.1%,$112k,"18,111"
ZomDay,0,6,85.1%,$164k,"24,360",16.6 hours,5.7 hours
Pierhead Arcade 2,0,2,84.4%,"$36,652","4,050"
Vinyl Reality - DJ in VR,0,1,94.1%,"$77,482","5,568"
Floor Plan 2,1,2,88.9%,"$30,531","1,890"
XING: The Land Beyond,0,3,90.4%,$129k,"8,770"
Apollo 11 VR,1,2,82.9%,$302k,"34,913",3 hours,1.8 hours
Cosmic Sugar VR,0,3,93.8%,nan,"18,244"
Cards & Tankards,3,12,93.1%,nan,"16,530",46.2 hours,11.6 hours
Oathbreakers,0,2,76.7%,"$10,656",900
Visionarium 2 - The Descent,0,0,88.5%,"$8,513",780
Vector 36,0,1,82.6%,$170k,"11,244"
Killing Floor: Incursion,0,4,53.1%,$817k,"50,635",5.1 hours,3.4 hours
Land of Towers,0,1,93.8%,"$3,695",480
The Utility Room,0,1,83.8%,"$11,137","1,110"
Project LUX,0,1,89.4%,$245k,"13,856"
OVR Advanced Settings,"2,801","3,950",96.1%,nan,"78,420",761.9 hours,383.8 hours
Helicopter Simulator VR 2021 - Rescue Missions,0,1,83.5%,"$48,718","4,170"
Blasters of the Universe,0,0,86.4%,"$82,505","8,012"
Out of Ammo,0,2,83%,$537k,"42,656",7.1 hours,4.8 hours
Sharecare YOU,1,1,83.1%,"$55,734","2,490"
Pixel Ripped 1995,0,1,98%,"$68,583","4,560"
"Calm Down, Stalin - VR",0,1,96.8%,"$10,669","1,490"
The Solus Project,2,4,79.9%,$2.3m,163k,19 hours,13.4 hours
Tethered,0,1,83.2%,$231k,"13,494"
The Wizards - Enhanced Edition,0,1,78.3%,$549k,"37,449"
Tabletopia,24,85,62.9%,$292k,444k,37.4 hours,5.8 hours
Star Trek: Starfleet Command Gold Edition,0,2,59.6%,"$36,676","5,694"
BRINK Traveler,0,3,88.6%,"$24,257","3,150"
Transpose,0,1,90.8%,"$56,754","4,323"
Maskmaker,1,2,93.9%,"$82,064","6,360"
I Fetch Rocks,1,3,97.1%,"$25,566","2,100"
The Maze: Humanity,0,0,97.6%,"$18,766","1,230"
